,Year_0,row_id,open02zaf
0,2017,2017_929,Apache License 2.0
1,2017,2017_939,Apache License 2.0
2,2017,2017_940,Apache License 2.0
3,2017,2017_930,"BSD 3-Clause ""New"" or ""Revised"" license"
4,2017,2017_939,"BSD 3-Clause ""New"" or ""Revised"" license"
5,2017,2017_942,"BSD 3-Clause ""New"" or ""Revised"" license"
6,2017,2017_940,GNU General Public License (GPL)
7,2017,2017_948,GNU General Public License (GPL)
8,2017,2017_930,MIT license
9,2017,2017_939,MIT license
10,2017,2017_932,I don't know
11,2017,2017_937,I don't know
